#{"t_start": 1606835205.7834709, "env_id": "wmac-graph-v1"}
r,l,t
-2100.0,9,15.907521
-2070.0,8,15.918547
-1750.0,10,15.936601
-1950.0,8,15.952332
-1710.0,7,15.962708
-2100.0,9,15.978256
-1680.0,8,15.992878
-2400.0,10,16.009231
-2010.0,7,16.020434
-2040.0,10,16.037036
-2040.0,11,16.054232
-1890.0,9,16.070738
-2340.0,13,16.094584
-1830.0,9,16.110677
-2160.0,10,16.12717
-1650.0,7,16.138676
-2676.0,12,16.157585
-2400.0,13,16.180502
-1740.0,8,16.196815
-2490.0,13,16.216588
-2130.0,11,16.234573
-1860.0,7,16.248232
-2256.0,11,16.266093
-1920.0,9,16.281857
-1830.0,8,16.293783
-1710.0,6,16.307184
-1800.0,7,16.318512
-1890.0,9,16.335779
-2130.0,9,16.351891
-1920.0,8,16.363131
-2400.0,9,16.379915
-2590.0,18,16.410628
-1770.0,9,16.424086
-1950.0,9,16.439456
-1800.0,7,16.453841
-1860.0,9,16.465815
-2070.0,6,16.48036
-2226.0,10,16.497124
-2010.0,9,16.509384
-1800.0,9,16.527721
-1770.0,7,16.543089
-1430.0,8,16.553994
-1800.0,8,16.568958
-2220.0,10,16.585759
-2040.0,8,16.597264
-1630.0,9,16.613256
-2064.0,9,16.629095
-1860.0,9,16.644587
-1680.0,8,16.656097
-2010.0,8,16.671149
-1980.0,11,16.688669
-1690.0,9,16.704462
-1560.0,6,16.714485
-2280.0,11,16.733777
-2340.0,10,16.751198
-2190.0,10,16.768014
-1710.0,6,16.781014
-1950.0,8,16.792312
-1980.0,10,16.809283
-1950.0,9,16.826394
-2130.0,10,16.843027
-2466.0,12,16.861748
-1770.0,8,16.877208
-2310.0,9,16.893106
-1650.0,7,16.904426
-1830.0,8,16.92007
-1740.0,6,16.930842
-2040.0,9,16.947749
-1980.0,11,16.965621
-2100.0,10,16.982997
-2010.0,8,16.998164
-1740.0,8,17.00901
-1980.0,8,17.02378
-2124.0,9,17.03941
-1800.0,7,17.049931
-1650,8,17.064737
-2190.0,13,17.083898
-1596.0,8,17.098832
-2340.0,12,17.118095
-1596.0,8,17.133126
-1980.0,10,17.149506
-1800.0,9,17.16558
-2100.0,9,17.177351
-1920.0,7,17.191755
-1890.0,7,17.201982
-2010.0,10,17.218009
-2004.0,9,17.233768
-1920.0,10,17.251067
-1740.0,8,17.266458
-1890.0,7,17.276881
-1830.0,7,17.287214
-2100.0,8,17.302673
-1840.0,10,17.319665
-1860.0,9,17.335656
-1710.0,6,17.345202
-2460.0,9,17.36228
-2010.0,8,17.373641
-1740.0,8,17.388929
-2040.0,10,17.405729
-2190.0,11,17.424375
-1860.0,10,17.440989
-2130.0,9,17.457684
-1480.0,9,17.475815
-1780.0,10,17.492921
-1650.0,6,17.502432
-1920.0,8,17.517395
-1830.0,8,17.528563
-1830.0,7,17.54247
-2130.0,9,17.554366
-1890.0,8,17.568913
-1810.0,12,17.587806
-1590.0,7,17.602394
-1986.0,9,17.619374
-1986.0,8,17.631101
-2010.0,9,17.647197
-2160.0,10,17.665443
-2034.0,9,17.685564
-1600.0,8,17.697783
-2176.0,13,17.721004
-1800.0,8,17.736406
-2160.0,10,17.753507
-1740.0,8,17.765064
-1860.0,9,17.780903
-2160.0,13,17.803642
-1770.0,7,17.81368
-1830.0,8,17.828455
-1950.0,10,17.844261
-1740.0,7,17.854541
-2076.0,12,17.873893
-2070.0,7,17.888057
-2664.0,11,17.907147
-1920.0,9,17.923347
-1836.0,9,17.940396
-1860.0,7,17.95141
-1980.0,11,17.969929
-1746.0,8,17.985012
-2100.0,8,17.996029
-1830.0,7,18.010633
-2280.0,10,18.027343
-2676.0,10,18.043814
-2070.0,10,18.061074
-1980.0,10,18.077398
-1716.0,8,18.08869
-2634.0,14,18.112745
-2856.0,15,18.136933
-2490.0,12,18.159079
-1420.0,8,18.17004
