File Time Hit_Miss  Response_Time/ns
2020110916:33:32.html 02:05:51 MISS 133929755
2020110916:33:32.html 02:05:51 HIT 119913075
2020110916:33:37.html 02:05:51 MISS 124771532
2020110916:33:37.html 02:05:51 HIT 119357519
2020110916:33:42.html 02:05:52 MISS 133582049
2020110916:33:42.html 02:05:52 HIT 145946907
2020110916:33:48.html 02:05:52 MISS 139969340
2020110916:33:48.html 02:05:52 HIT 133097321
2020110916:33:53.html 02:05:52 MISS 138776143
2020110916:33:53.html 02:05:52 HIT 127445283
2020110916:33:58.html 02:05:52 MISS 135149996
2020110916:33:58.html 02:05:53 HIT 132765393
2020110916:34:03.html 02:05:53 MISS 144427679
2020110916:34:03.html 02:05:53 HIT 160517162
2020110916:34:08.html 02:05:53 MISS 136510555
2020110916:34:08.html 02:05:53 HIT 142752721
2020110916:34:13.html 02:05:53 MISS 139015285
2020110916:34:13.html 02:05:53 HIT 139570904
2020110916:34:18.html 02:05:54 MISS 160092000
2020110916:34:18.html 02:05:54 HIT 171756092
2020110916:34:23.html 02:05:54 MISS 155169648
2020110916:34:23.html 02:05:54 HIT 158965309
2020110916:34:28.html 02:05:54 MISS 122405317
2020110916:34:28.html 02:05:54 HIT 125439709
2020110916:34:33.html 02:05:55 MISS 121109858
2020110916:34:33.html 02:05:55 HIT 123014256
2020110916:34:38.html 02:05:55 MISS 201259415
2020110916:34:38.html 02:05:55 HIT 134418506
2020110916:34:43.html 02:05:55 MISS 126518213
2020110916:34:43.html 02:05:55 HIT 129139091
2020110916:34:48.html 02:05:55 MISS 130622735
2020110916:34:48.html 02:05:56 HIT 120496317
2020110916:34:53.html 02:05:56 MISS 147621252
2020110916:34:53.html 02:05:56 HIT 158866647
2020110916:34:58.html 02:05:56 MISS 149280400
2020110916:34:58.html 02:05:56 HIT 138717963
2020110916:35:03.html 02:05:56 MISS 129079079
2020110916:35:03.html 02:05:56 HIT 120314548
2020110916:35:08.html 02:05:57 MISS 131231712
2020110916:35:08.html 02:05:57 HIT 132866448
2020110916:35:13.html 02:05:57 MISS 208346979
2020110916:35:13.html 02:05:57 HIT 135583063
2020110916:35:18.html 02:05:57 MISS 124058675
2020110916:35:18.html 02:05:57 HIT 125238305
2020110916:35:23.html 02:05:57 MISS 130310478
2020110916:35:23.html 02:05:58 HIT 126382356
2020110916:35:28.html 02:05:58 MISS 157479100
2020110916:35:28.html 02:05:58 HIT 155501443
2020110916:35:33.html 02:05:58 MISS 139754935
2020110916:35:33.html 02:05:58 HIT 116248247
2020110916:35:38.html 02:05:58 MISS 126066192
2020110916:35:38.html 02:05:58 HIT 126508307
2020110916:35:43.html 02:05:59 MISS 135460491
2020110916:35:43.html 02:05:59 HIT 134977597
2020110916:35:48.html 02:05:59 MISS 177019150
2020110916:35:48.html 02:05:59 HIT 145637890
2020110916:35:53.html 02:05:59 MISS 147944988
2020110916:35:53.html 02:05:59 HIT 119175232
2020110916:35:58.html 02:05:59 MISS 141707292
2020110916:35:58.html 02:06:00 HIT 151253423
2020110916:36:03.html 02:06:00 MISS 148240907
2020110916:36:03.html 02:06:00 HIT 180878250
2020110916:36:08.html 02:06:00 MISS 158613239
2020110916:36:08.html 02:06:00 HIT 136984557
2020110916:36:13.html 02:06:00 MISS 149966688
2020110916:36:13.html 02:06:00 HIT 125079507
2020110916:36:18.html 02:06:01 MISS 134810896
2020110916:36:18.html 02:06:01 HIT 155750920
2020110916:36:23.html 02:06:01 MISS 151329902
2020110916:36:23.html 02:06:01 HIT 129602653
2020110916:36:28.html 02:06:01 MISS 137750510
2020110916:36:28.html 02:06:01 HIT 133084777
2020110916:36:33.html 02:06:01 MISS 134046045
2020110916:36:33.html 02:06:02 HIT 122374918
2020110916:36:38.html 02:06:02 MISS 181732596
2020110916:36:38.html 02:06:02 HIT 144933192
2020110916:36:43.html 02:06:02 MISS 127565021
2020110916:36:43.html 02:06:02 HIT 155855650
2020110916:36:48.html 02:06:02 MISS 143757640
2020110916:36:48.html 02:06:03 HIT 135488689
2020110916:36:53.html 02:06:03 MISS 147744606
2020110916:36:53.html 02:06:03 HIT 218364616
2020110916:36:58.html 02:06:03 MISS 165763694
2020110916:36:58.html 02:06:03 HIT 132411575
2020110916:37:03.html 02:06:03 MISS 144996642
2020110916:37:03.html 02:06:04 HIT 139835745
2020110916:37:08.html 02:06:04 MISS 149014062
2020110916:37:08.html 02:06:04 HIT 183042063
2020110916:37:13.html 02:06:04 MISS 132279045
